Municipio,Año,Subtipo de delito,Casos
Santa Catarina,2020,Homicidio doloso,0.0
Santa Catarina,2021,Homicidio culposo,1.0
Santa Catarina,2021,Homicidio doloso,0.0
Santa Catarina,2022,Homicidio culposo,1.0
Santa Catarina,2022,Homicidio doloso,0.0
Santa Catarina,2023,Homicidio culposo,1.0
Santa Catarina,2023,Homicidio doloso,0.0
Santa Catarina,2024,Homicidio culposo,1.0
Santa Catarina,2024,Homicidio doloso,0.0
Santa Catarina,2025,Homicidio culposo,1.0
Santa Catarina,2025,Homicidio doloso,0.0
Santa Cruz de Juventino Rosas,2020,Homicidio culposo,29.0
Santa Cruz de Juventino Rosas,2020,Homicidio doloso,37.0
Santa Cruz de Juventino Rosas,2021,Homicidio culposo,15.0
Santa Cruz de Juventino Rosas,2021,Homicidio doloso,33.0
Santa Cruz de Juventino Rosas,2022,Homicidio culposo,20.0
Santa Cruz de Juventino Rosas,2022,Homicidio doloso,34.0
Santa Cruz de Juventino Rosas,2023,Homicidio culposo,12.0
Santa Cruz de Juventino Rosas,2023,Homicidio doloso,26.0
Santa Cruz de Juventino Rosas,2024,Homicidio culposo,17.0
Santa Cruz de Juventino Rosas,2024,Homicidio doloso,29.0
Santa Cruz de Juventino Rosas,2025,Homicidio culposo,26.0
Santa Cruz de Juventino Rosas,2025,Homicidio doloso,33.0
Santiago Maravatío,2020,Homicidio culposo,2.0
Santiago Maravatío,2020,Homicidio doloso,14.0
Santiago Maravatío,2021,Homicidio culposo,0.0
Santiago Maravatío,2021,Homicidio doloso,10.0
Santiago Maravatío,2022,Homicidio culposo,0.0
Santiago Maravatío,2022,Homicidio doloso,9.0
Santiago Maravatío,2023,Homicidio culposo,3.0
Santiago Maravatío,2023,Homicidio doloso,12.0
Santiago Maravatío,2024,Homicidio culposo,2.0
Santiago Maravatío,2024,Homicidio doloso,20.0
Santiago Maravatío,2025,Homicidio culposo,1.0
Santiago Maravatío,2025,Homicidio doloso,2.0
Silao de la Victoria,2020,Homicidio culposo,94.0
Silao de la Victoria,2020,Homicidio doloso,63.0
Silao de la Victoria,2021,Homicidio culposo,67.0
Silao de la Victoria,2021,Homicidio doloso,49.0
Silao de la Victoria,2022,Homicidio culposo,57.0
Silao de la Victoria,2022,Homicidio doloso,37.0
Silao de la Victoria,2023,Homicidio culposo,81.0
Silao de la Victoria,2023,Homicidio doloso,38.0
Silao de la Victoria,2024,Homicidio culposo,71.0
Silao de la Victoria,2024,Homicidio doloso,39.0
Silao de la Victoria,2025,Homicidio culposo,54.0
Silao de la Victoria,2025,Homicidio doloso,36.0
Tarandacuao,2020,Homicidio culposo,5.0
Tarandacuao,2020,Homicidio doloso,4.0
Tarandacuao,2021,Homicidio culposo,4.0
Tarandacuao,2021,Homicidio doloso,2.0
Tarandacuao,2022,Homicidio culposo,4.0
Tarandacuao,2022,Homicidio doloso,2.0
Tarandacuao,2023,Homicidio culposo,3.0
Tarandacuao,2023,Homicidio doloso,7.0
Tarandacuao,2024,Homicidio culposo,4.0
Tarandacuao,2024,Homicidio doloso,5.0
